##FastQC	0.11.6
>>Basic Statistics	pass
#Measure	Value
Filename	Y25_2.fq.gz
File type	Conventional base calls
1103	25-29	-0.21401557995226028
1103	30-34	-0.08807590338800964
1103	35-39	-0.07198721916007145
1103	40-44	-0.06211131402863401
1103	45-49	-0.08295648236184405
1103	50-54	0.03677326201526654
1103	55-59	-0.04544664057344505
1103	60-64	-0.013849940948311712
1103	65-69	-0.13666212166562275
1103	70-74	-0.13216809864437096
1103	75-79	-0.06480118458053852
1103	80-84	-0.15800991964891153
1103	85-89	0.005732562188796919
1103	90-94	0.03998153229822776
1103	95-99	0.004896615322678599
1103	100-104	0.12660338060682363
1103	105-109	-0.06196644715021904
1103	110-114	0.050204233685526845
1103	115-119	-0.06264587061777149
1103	120-124	0.2805717120220059
1103	125-129	0.238040503978322
1103	130-134	-0.24392521285412627
1103	135-139	-0.015955518148899728
1103	140-144	-0.3031343832621367
1103	145-149	-0.07380885027307116
1103	150	0.11449662565493313
1104	1	0.3138491678440545
1104	2	0.04690152042821083
1104	3	0.39733996484653744
1104	4	0.1712600469925718
1104	5	0.03421678070668577
1104	6	0.22538672778355817
1104	7	0.06968161157615782
1104	8	0.021959067994458792
1104	9	-0.046502719183855845
1104	10-14	-0.08885156320901899
1104	15-19	-0.06812424050074384
1104	20-24	-0.06247638470897243
1104	25-29	-0.15327603675790158
1104	30-34	-0.08935658796845303
1104	35-39	-0.07788289275762139
1104	40-44	-0.07956178201100528
1104	45-49	0.027055669418309947
1104	50-54	0.12791108462446488
1104	55-59	0.02027164679224569
1104	60-64	-0.0705073895871422
1104	65-69	-0.06175790653623636
1104	70-74	-0.12806597915404438
1104	75-79	0.09665909344152368
1104	80-84	0.12297980865246672
1104	85-89	0.15020566976727423
1104	90-94	0.2990345548205866
1104	95-99	0.1881057809159472
1104	100-104	0.33808326296567515
1104	105-109	0.19517647764965318
1104	110-114	0.33238878749247647
1104	115-119	0.03597764245456858
1104	120-124	0.5884791300779533
1104	125-129	0.4909025169787533
1104	130-134	0.3611520943819606
1104	135-139	0.47018923038817206
1104	140-144	0.38553794450624324
1104	145-149	0.07365276310978786
1104	150	0.3594622054920471
1105	1	0.17250517187626002
1105	2	-0.1056527887143055
1105	3	0.34239653828496586
1105	4	0.13000322106027085
1105	5	-0.07559747585514032
1105	6	0.1562595916767009
1105	7	-0.27434955921813753
1105	8	-0.06985311605448175
1105	9	-0.1464498340794833
1105	10-14	-0.10836919510473564
1105	15-19	-0.11262219738681267
1105	20-24	0.009614937752658648
1105	25-29	-0.10932489038202675
1105	30-34	-0.04691335523575901
1105	35-39	-0.04013110343024806
1105	40-44	-0.05012550947946437
1105	45-49	0.09333679430492481
1105	50-54	0.14593284856040611
1105	55-59	0.10467942814945275
1105	60-64	0.1297867722549242
1105	65-69	0.1835318935280128
1105	70-74	0.09521419958494448
1105	75-79	0.1980556424410409
1105	80-84	0.08942441413078939
1105	85-89	0.1887473659971306
1105	90-94	0.40664752969968987
1105	95-99	0.32752320343441
1105	100-104	0.48379870860908625
1105	105-109	0.7194031196745598
1105	110-114	0.9493636880262954
1105	115-119	0.7153612249120869
1105	120-124	1.0198711000622573
1105	125-129	1.028262404785238
1105	130-134	0.9614472502437152
1105	135-139	1.0637935879048328
1105	140-144	1.1378324866357694
1105	145-149	1.255904111032475
1105	150	1.2434703150818578
1106	1	0.07227414674411747
1106	2	-0.19590947498783962
1106	3	0.35272118591222323
1106	4	-0.03106310731461548
1106	5	-0.22683737270268267
1106	6	-0.42550887724475217
1106	7	-0.4994178383116932
1106	8	-0.47226290735387977
1106	9	-0.44890151603907924
1106	10-14	-0.48962889020737776
1106	15-19	-0.4440225552498518
1106	20-24	-0.35370331840294966
1106	25-29	-0.6235888109920964
1106	30-34	-0.5181757560038633
1106	35-39	-0.39583301358901934
1106	40-44	-0.7942798205995487
1106	45-49	-0.7457758403133212
1106	50-54	-1.2914030986257856
1106	55-59	-1.6251558082211588
1106	60-64	-1.3311619811754483
1106	65-69	-1.2890757590281652
1106	70-74	-1.6380616932082361
1106	75-79	-1.3883101375301763
1106	80-84	-1.2399025314810785
1106	85-89	-1.439944687880761
1106	90-94	-1.9226476244063235
1106	95-99	-1.7179788119302302
1106	100-104	-2.075728600917941
1106	105-109	-1.7754453268630073
1106	110-114	-1.4368608663793268
1106	115-119	-1.7478692969690073
1106	120-124	-1.8606342533481204
1106	125-129	-1.55461477874778
1106	130-134	-1.469965456879546
1106	135-139	-1.4420523205550424
1106	140-144	-1.2355115344836491
1106	145-149	-1.9383901927315677
1106	150	-1.419678840943888
1107	1	0.2543454039023523
1107	2	0.00853579694744866
1107	3	0.5297907498670327
1107	4	0.15766102057538234
1107	5	0.10375455774277498
1107	6	0.18336103827890327
1107	7	0.019406594280468425
1107	8	-0.06534074297656645
1107	9	0.07043942901908906
1107	10-14	-0.05959353311213533
1107	15-19	-0.011161450566291364
1107	20-24	-0.06385551284203217
1107	25-29	-0.027020022329494964
1107	30-34	0.048105732318660444
1107	35-39	0.02197614260270342
1107	40-44	0.01053482779888526
1107	45-49	0.06775706225668188
1107	50-54	-0.004196667057797754
1107	55-59	-0.06182335373976855
1107	60-64	-0.015456196759970453
1107	65-69	-0.043539608298679866
1107	70-74	-0.013245260676427506
1107	75-79	0.2717406482015079
1107	80-84	0.13662213931818457
1107	85-89	0.1446463436243306
1107	90-94	0.11842883999621989
1107	95-99	0.20733384776426078
1107	100-104	0.05209787515462949
1107	105-109	0.24961850143707665
1107	110-114	0.2621171775418958
